Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Total,Spread
2015,ATL,1,2014-10-29,0,TOR,L,102,109,40,80,0.5,13,22,0.591,9,17,0.529,10,42,26,6,8,19,24,37,90,0.411,8,26,0.308,27,33,0.818,16,48,26,13,9,10,22,211,-7
2015,ATL,2,2014-11-01,1,IND,W,102,92,35,69,0.507,7,20,0.35,25,33,0.758,3,37,26,10,6,13,20,31,81,0.383,12,32,0.375,18,21,0.857,11,44,25,5,5,18,26,194,10
2015,ATL,3,2014-11-05,0,SAS,L,92,94,38,92,0.413,8,25,0.32,8,11,0.727,10,37,26,14,5,14,25,31,69,0.449,5,17,0.294,27,38,0.711,11,50,25,7,9,21,15,186,-2
2015,ATL,4,2014-11-07,0,CHO,L,119,122,43,93,0.462,13,33,0.394,20,26,0.769,7,38,28,8,3,19,33,48,97,0.495,6,21,0.286,20,27,0.741,11,51,31,6,7,21,30,241,-3
2015,ATL,5,2014-11-08,1,NYK,W,103,96,33,81,0.407,9,22,0.409,28,36,0.778,12,41,18,10,5,9,17,40,84,0.476,8,21,0.381,8,11,0.727,13,44,26,2,6,15,29,199,7
2015,ATL,6,2014-11-10,0,NYK,W,91,85,27,71,0.38,10,27,0.37,27,28,0.964,9,38,20,7,3,16,16,36,83,0.434,6,26,0.231,7,12,0.583,11,40,23,4,2,16,26,176,6
2015,ATL,7,2014-11-12,1,UTA,W,100,97,39,76,0.513,9,20,0.45,13,18,0.722,13,46,23,8,4,22,12,43,86,0.5,5,23,0.217,6,12,0.5,8,30,28,12,8,11,17,197,3
2015,ATL,8,2014-11-14,1,MIA,W,114,103,42,75,0.56,11,28,0.393,19,23,0.826,3,36,33,10,5,13,20,35,74,0.473,10,21,0.476,23,25,0.92,5,32,27,10,3,14,20,217,11
2015,ATL,9,2014-11-15,0,CLE,L,94,127,40,90,0.444,3,22,0.136,11,13,0.846,11,37,26,6,8,19,12,49,90,0.544,19,31,0.613,10,13,0.769,12,47,39,12,2,14,14,221,-33
2015,ATL,10,2014-11-18,1,LAL,L,109,114,41,85,0.482,9,27,0.333,18,23,0.783,13,38,22,7,3,11,17,47,87,0.54,6,17,0.353,14,22,0.636,13,44,24,7,0,11,24,223,-5
2015,ATL,11,2014-11-21,1,DET,W,99,89,38,80,0.475,5,24,0.208,18,26,0.692,8,46,20,7,5,10,18,31,83,0.373,4,21,0.19,23,24,0.958,13,45,12,6,3,12,20,188,10
2015,ATL,12,2014-11-25,0,WAS,W,106,102,36,85,0.424,7,25,0.28,27,34,0.794,12,43,17,16,6,11,23,36,84,0.429,9,20,0.45,21,29,0.724,16,47,25,2,3,20,25,208,4
2015,ATL,13,2014-11-26,1,TOR,L,115,126,42,82,0.512,10,24,0.417,21,24,0.875,9,32,31,2,4,14,24,42,82,0.512,14,29,0.483,28,33,0.848,11,36,24,7,7,11,24,241,-11
